loss,accuracy,AUC,Precision,Recall,f1_score,img_size,colour_mode,augment,batch_size,epochs,filter,dropout,duration
0.481,0.769,0.895,0.74,0.972,0.769,150.0,grayscale,True,16.0,3.0,3.0,0.2,43.412
0.524,0.817,0.882,0.8,0.944,0.769,150.0,grayscale,False,16.0,3.0,3.0,0.2,42.888
0.721,0.675,0.687,0.666,0.962,0.769,150.0,rgb,True,16.0,3.0,3.0,0.2,47.678
0.943,0.732,0.89,0.701,0.997,0.769,150.0,rgb,False,16.0,3.0,3.0,0.2,44.93
0.577,0.76,0.796,0.763,0.892,0.769,300.0,grayscale,True,16.0,3.0,3.0,0.2,187.146
0.944,0.724,0.875,0.695,0.995,0.769,300.0,grayscale,False,16.0,3.0,3.0,0.2,185.463
0.656,0.691,0.793,0.675,0.974,0.769,300.0,rgb,True,16.0,3.0,3.0,0.2,202.04
1.115,0.737,0.889,0.705,0.995,0.769,300.0,rgb,False,16.0,3.0,3.0,0.2,188.513
0.601,0.686,0.711,0.684,0.926,0.769,150.0,grayscale,True,16.0,3.0,3.0,0.5,43.178
0.583,0.689,0.844,0.668,1.0,0.769,150.0,grayscale,False,16.0,3.0,3.0,0.5,43.054
0.739,0.627,0.63,0.626,1.0,0.769,150.0,rgb,True,16.0,3.0,3.0,0.5,47.748
0.583,0.716,0.808,0.694,0.977,0.769,150.0,rgb,False,16.0,3.0,3.0,0.5,44.854
0.624,0.679,0.781,0.666,0.977,0.769,300.0,grayscale,True,16.0,3.0,3.0,0.5,187.092
0.646,0.673,0.768,0.663,0.972,0.769,300.0,grayscale,False,16.0,3.0,3.0,0.5,185.755
0.834,0.631,0.577,0.649,0.895,0.769,300.0,rgb,True,16.0,3.0,3.0,0.5,202.024
0.646,0.817,0.905,0.784,0.977,0.769,300.0,rgb,False,16.0,3.0,3.0,0.5,188.694
0.756,0.654,0.662,0.652,0.956,0.769,150.0,grayscale,True,16.0,3.0,7.0,0.2,39.968
0.734,0.752,0.878,0.722,0.979,0.769,150.0,grayscale,False,16.0,3.0,7.0,0.2,39.797
0.531,0.679,0.883,0.662,0.997,0.769,150.0,rgb,True,16.0,3.0,7.0,0.2,45.214
0.856,0.716,0.874,0.691,0.99,0.769,150.0,rgb,False,16.0,3.0,7.0,0.2,42.651
0.497,0.829,0.894,0.848,0.885,0.769,300.0,grayscale,True,16.0,3.0,7.0,0.2,183.868
0.838,0.731,0.881,0.701,0.992,0.769,300.0,grayscale,False,16.0,3.0,7.0,0.2,181.752
