loss,accuracy,AUC,Precision,Recall,f1_score,img_size,colour_mode,augment,batch_size,epochs,filter,dropout,duration
0.39,0.857,0.917,0.851,0.936,0.769,150.0,rgb,True,32.0,3.0,7.0,0.2,41.907
0.444,0.798,0.897,0.788,0.926,0.769,150.0,rgb,False,32.0,3.0,7.0,0.2,35.857
0.594,0.696,0.754,0.706,0.879,0.769,300.0,grayscale,True,32.0,3.0,7.0,0.2,155.038
0.817,0.761,0.794,0.742,0.946,0.769,300.0,grayscale,False,32.0,3.0,7.0,0.2,156.052
0.428,0.792,0.9,0.77,0.951,0.769,300.0,rgb,True,32.0,3.0,7.0,0.2,175.496
0.43,0.816,0.913,0.793,0.954,0.769,300.0,rgb,False,32.0,3.0,7.0,0.2,153.508
0.485,0.74,0.886,0.723,0.949,0.769,150.0,grayscale,True,32.0,3.0,7.0,0.5,34.541
0.436,0.798,0.93,0.763,0.982,0.769,150.0,grayscale,False,32.0,3.0,7.0,0.5,33.99
0.639,0.609,0.69,0.621,0.962,0.769,150.0,rgb,True,32.0,3.0,7.0,0.5,42.025
0.545,0.712,0.922,0.686,0.995,0.769,150.0,rgb,False,32.0,3.0,7.0,0.5,37.813
0.54,0.808,0.9,0.784,0.956,0.769,300.0,grayscale,True,32.0,3.0,7.0,0.5,151.141
0.64,0.635,0.866,0.632,0.995,0.769,300.0,grayscale,False,32.0,3.0,7.0,0.5,147.14
0.631,0.671,0.896,0.657,0.995,0.769,300.0,rgb,True,32.0,3.0,7.0,0.5,172.089
0.947,0.636,0.852,0.632,1.0,0.769,300.0,rgb,False,32.0,3.0,7.0,0.5,151.62
0.491,0.715,0.888,0.698,0.959,0.769,150.0,grayscale,True,64.0,3.0,3.0,0.2,34.806
0.584,0.784,0.885,0.749,0.985,0.769,150.0,grayscale,False,64.0,3.0,3.0,0.2,34.048
0.485,0.819,0.905,0.886,0.815,0.769,150.0,rgb,True,64.0,3.0,3.0,0.2,42.361
0.555,0.806,0.87,0.773,0.977,0.769,150.0,rgb,False,64.0,3.0,3.0,0.2,36.171
0.429,0.804,0.898,0.8,0.915,0.769,300.0,grayscale,True,64.0,3.0,3.0,0.2,140.896
0.86,0.729,0.887,0.705,0.974,0.769,300.0,grayscale,False,64.0,3.0,3.0,0.2,138.903
0.603,0.676,0.751,0.671,0.946,0.769,300.0,rgb,True,64.0,3.0,3.0,0.2,165.099
0.789,0.756,0.877,0.727,0.977,0.769,300.0,rgb,False,64.0,3.0,3.0,0.2,143.551
0.678,0.623,0.556,0.625,0.995,0.769,150.0,grayscale,True,64.0,3.0,3.0,0.5,34.299
0.673,0.625,0.506,0.625,1.0,0.769,150.0,grayscale,False,64.0,3.0,3.0,0.5,33.795
0.629,0.625,0.849,0.625,1.0,0.769,150.0,rgb,True,64.0,3.0,3.0,0.5,43.491
0.555,0.782,0.799,0.81,0.851,0.769,150.0,rgb,False,64.0,3.0,3.0,0.5,35.973
0.631,0.638,0.699,0.64,0.959,0.769,300.0,grayscale,True,64.0,3.0,3.0,0.5,140.87
0.693,0.724,0.841,0.709,0.949,0.769,300.0,grayscale,False,64.0,3.0,3.0,0.5,141.587
0.569,0.625,0.876,0.625,1.0,0.769,300.0,rgb,True,64.0,3.0,3.0,0.5,165.637
0.596,0.71,0.812,0.692,0.967,0.769,300.0,rgb,False,64.0,3.0,3.0,0.5,146.213
0.385,0.84,0.919,0.896,0.841,0.769,150.0,grayscale,True,64.0,3.0,7.0,0.2,33.069
0.436,0.782,0.915,0.757,0.959,0.769,150.0,grayscale,False,64.0,3.0,7.0,0.2,32.135
0.539,0.7,0.812,0.725,0.838,0.769,150.0,rgb,True,64.0,3.0,7.0,0.2,41.225
0.398,0.822,0.905,0.799,0.956,0.769,150.0,rgb,False,64.0,3.0,7.0,0.2,34.643
0.451,0.801,0.89,0.79,0.928,0.769,300.0,grayscale,True,64.0,3.0,7.0,0.2,143.753
1.122,0.723,0.864,0.693,0.997,0.769,300.0,grayscale,False,64.0,3.0,7.0,0.2,142.748
0.462,0.8,0.884,0.778,0.951,0.769,300.0,rgb,True,64.0,3.0,7.0,0.2,165.231
0.674,0.625,0.5,0.625,1.0,0.769,300.0,rgb,False,64.0,3.0,7.0,0.2,139.856
0.663,0.795,0.822,0.823,0.856,0.769,150.0,grayscale,True,64.0,3.0,7.0,0.5,32.799
0.505,0.808,0.896,0.804,0.915,0.769,150.0,grayscale,False,64.0,3.0,7.0,0.5,32.055
0.689,0.615,0.466,0.622,0.979,0.769,150.0,rgb,True,64.0,3.0,7.0,0.5,41.228
0.449,0.779,0.904,0.747,0.977,0.769,150.0,rgb,False,64.0,3.0,7.0,0.5,34.8677499294281
