loss,accuracy,AUC,Precision,Recall,f1_score,img_size,colour_mode,augment,batch_size,epochs,filter,dropout,duration
0.467,0.854,0.916,0.873,0.897,0.769,150.0,rgb,True,32.0,3.0,7.0,0.2,42.012
0.547,0.812,0.893,0.876,0.815,0.769,150.0,rgb,False,32.0,3.0,7.0,0.2,42.728
0.391,0.817,0.902,0.824,0.9,0.769,300.0,grayscale,True,32.0,3.0,7.0,0.2,150.444
0.628,0.675,0.692,0.691,0.867,0.769,300.0,grayscale,False,32.0,3.0,7.0,0.2,150.421
0.574,0.771,0.815,0.752,0.946,0.769,300.0,rgb,True,32.0,3.0,7.0,0.2,171.109
0.544,0.763,0.8,0.783,0.859,0.769,300.0,rgb,False,32.0,3.0,7.0,0.2,171.854
0.626,0.625,0.763,0.625,1.0,0.769,150.0,grayscale,True,32.0,3.0,7.0,0.5,34.769
0.644,0.625,0.667,0.625,0.997,0.769,150.0,grayscale,False,32.0,3.0,7.0,0.5,34.694
0.648,0.652,0.75,0.649,0.964,0.769,150.0,rgb,True,32.0,3.0,7.0,0.5,41.992
0.946,0.628,0.738,0.627,1.0,0.769,150.0,rgb,False,32.0,3.0,7.0,0.5,41.888
0.661,0.627,0.56,0.626,1.0,0.769,300.0,grayscale,True,32.0,3.0,7.0,0.5,150.481
0.647,0.728,0.777,0.766,0.813,0.769,300.0,grayscale,False,32.0,3.0,7.0,0.5,150.285
0.983,0.625,0.814,0.625,1.0,0.769,300.0,rgb,True,32.0,3.0,7.0,0.5,171.44
0.674,0.678,0.724,0.664,0.982,0.769,300.0,rgb,False,32.0,3.0,7.0,0.5,172.093
0.544,0.761,0.832,0.733,0.972,0.769,150.0,grayscale,True,64.0,3.0,3.0,0.2,34.753
0.821,0.636,0.866,0.633,0.992,0.769,150.0,grayscale,False,64.0,3.0,3.0,0.2,34.732
0.479,0.804,0.893,0.786,0.944,0.769,150.0,rgb,True,64.0,3.0,3.0,0.2,42.253
0.622,0.679,0.663,0.678,0.928,0.769,150.0,rgb,False,64.0,3.0,3.0,0.2,42.253
0.552,0.771,0.783,0.766,0.913,0.769,300.0,grayscale,True,64.0,3.0,3.0,0.2,141.008
0.615,0.76,0.781,0.833,0.769,0.769,300.0,grayscale,False,64.0,3.0,3.0,0.2,140.765
0.641,0.686,0.675,0.676,0.956,0.769,300.0,rgb,True,64.0,3.0,3.0,0.2,163.424
0.599,0.764,0.795,0.757,0.918,0.769,300.0,rgb,False,64.0,3.0,3.0,0.2,163.613
0.658,0.625,0.582,0.625,1.0,0.769,150.0,grayscale,True,64.0,3.0,3.0,0.5,34.743
0.684,0.625,0.523,0.625,1.0,0.769,150.0,grayscale,False,64.0,3.0,3.0,0.5,34.641
0.673,0.625,0.5,0.625,1.0,0.769,150.0,rgb,True,64.0,3.0,3.0,0.5,42.419
0.672,0.625,0.5,0.625,1.0,0.769,150.0,rgb,False,64.0,3.0,3.0,0.5,42.285
